context,factor,low_level,high_level,matches_per_level,weak_win_effect,weak_win_ci_low,weak_win_ci_high,weak_win_seed_clusters,weak_round_margin_effect,weak_round_margin_ci_low,weak_round_margin_ci_high,weak_round_margin_seed_clusters,weak_score_effect,weak_score_ci_low,weak_score_ci_high,weak_score_seed_clusters,strong_score_effect,strong_score_ci_low,strong_score_ci_high,strong_score_seed_clusters,rounds_won_added,rounds_won_added_ci_low,rounds_won_added_ci_high,opponent_rounds_denied,opponent_rounds_denied_ci_low,opponent_rounds_denied_ci_high,margin_reconciliation_error,seed_block_sign_agreement,baseline_level,treatment_level,weak_win_effect_pp
equal_75v75_core,agent_mastery,75,25,450,-0.07333333333333333,-0.100808831852022,-0.04585783481464467,45,-0.9844444444444446,-1.2439922541588864,-0.7248966347300029,45,-0.5533333333333333,-0.7507150957805282,-0.3559515708861385,45,0.43111111111111106,0.24748873210623482,0.6147334901159873,45,-0.5533333333333333,-0.7507150957805282,-0.3559515708861385,-0.43111111111111106,-0.6147334901159873,-0.24748873210623482,-1.6653345369377348e-16,1.0,75,25,-7.333333333333333
equal_75v75_core,agent_mastery,75,50,450,-0.04888888888888889,-0.07164534241711783,-0.026132435360659952,45,-0.6266666666666667,-0.856400355051202,-0.39693297828213137,45,-0.29777777777777775,-0.48192076293330416,-0.11363479262225135,45,0.32888888888888884,0.2098092528260566,0.44796852495172107,45,-0.29777777777777775,-0.48192076293330416,-0.11363479262225135,-0.32888888888888884,-0.44796852495172107,-0.2098092528260566,-1.1102230246251565e-16,1.0,75,50,-4.888888888888889
equal_75v75_core,agent_mastery,75,95,450,0.042222222222222223,0.02249143786101062,0.06195300658343383,45,0.5288888888888889,0.32607143209984457,0.7317063456779331,45,0.29777777777777775,0.16895579846522027,0.42659975709033526,45,-0.23111111111111113,-0.3886364923343688,-0.07358572988785345,45,0.29777777777777775,0.16895579846522027,0.42659975709033526,0.23111111111111113,0.07358572988785345,0.3886364923343688,-2.7755575615628914e-17,1.0,75,95,4.222222222222222
equal_75v75_core,agent_selection,auto,comfort_lock,450,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,auto,comfort_lock,0.0
equal_75v75_core,agent_selection,auto,unfamiliar_same_role,450,-0.042222222222222223,-0.0758048953613083,-0.00863954908313614,45,-0.5044444444444445,-0.8924231547045023,-0.1164657341843866,45,-0.19777777777777783,-0.5145298877521756,0.1189743321966199,45,0.3066666666666667,0.05267574903115396,0.5606575843021795,45,-0.19777777777777783,-0.5145298877521756,0.1189743321966199,-0.3066666666666667,-0.5606575843021795,-0.05267574903115396,5.551115123125783e-17,1.0,auto,unfamiliar_same_role,-4.222222222222222
equal_75v75_core,chemistry_complex_system,65,100,450,0.11555555555555554,0.07119917173265397,0.1599119393784571,45,1.7088888888888887,1.3138956324998947,2.1038821452778826,45,0.842222222222222,0.5700560912187653,1.1143883532256786,45,-0.8666666666666667,-1.0993812689908966,-0.6339520643424367,45,0.842222222222222,0.5700560912187653,1.1143883532256786,0.8666666666666667,0.6339520643424367,1.0993812689908966,0.0,1.0,65,100,11.555555555555554
equal_75v75_core,chemistry_complex_system,65,20,450,-0.13999999999999999,-0.1791717045900421,-0.10082829540995784,45,-1.9777777777777779,-2.286886353467046,-1.6686692020885097,45,-1.153333333333333,-1.400214303245108,-0.9064523634215582,45,0.8244444444444444,0.6200619302828507,1.0288269586060381,45,-1.153333333333333,-1.400214303245108,-0.9064523634215582,-0.8244444444444444,-1.0288269586060381,-0.6200619302828507,-3.3306690738754696e-16,1.0,65,20,-13.999999999999998
equal_75v75_core,chemistry_neutral,65,100,450,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,65,100,0.0
equal_75v75_core,chemistry_neutral,65,20,450,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,65,20,0.0
equal_75v75_core,coach_quality,50,20,450,0.006666666666666665,-0.020808831852022,0.03414216518535533,45,-0.024444444444444442,-0.24891705540405526,0.2000281665151664,45,-0.004444444444444441,-0.18549421552847023,0.17660532663958134,45,0.02,-0.12920265945516005,0.16920265945516003,45,-0.004444444444444441,-0.18549421552847023,0.17660532663958134,-0.02,-0.16920265945516003,0.12920265945516005,0.0,0.6666666666666666,50,20,0.6666666666666665
equal_75v75_core,coach_quality,50,80,450,0.013333333333333332,-0.015738356717447527,0.04240502338411419,45,-0.004444444444444438,-0.2615304573859363,0.25264156849704744,45,0.08222222222222222,-0.1289851846730714,0.29342962911751586,45,0.08666666666666668,-0.10587502388276908,0.27920835721610243,45,0.08222222222222222,-0.1289851846730714,0.29342962911751586,-0.08666666666666668,-0.27920835721610243,0.10587502388276908,1.3877787807814457e-17,0.3333333333333333,50,80,1.3333333333333333
equal_75v75_core,confidence,50,20,450,-0.1022222222222222,-0.13873157205307665,-0.06571287239136775,45,-1.4044444444444446,-1.706373114094324,-1.1025157747945653,45,-0.6733333333333335,-0.8910556020686453,-0.4556110645980216,45,0.7311111111111113,0.483630764706263,0.9785914575159596,45,-0.6733333333333335,-0.8910556020686453,-0.4556110645980216,-0.7311111111111113,-0.9785914575159596,-0.483630764706263,1.1102230246251565e-16,1.0,50,20,-10.22222222222222
equal_75v75_core,confidence,50,80,450,0.10444444444444445,0.07309428217531924,0.13579460671356966,45,1.5777777777777777,1.2615182460564756,1.89403730949908,45,0.5955555555555556,0.39535094579295116,0.7957601653181601,45,-0.9822222222222221,-1.2450165565677558,-0.7194278878766884,45,0.5955555555555556,0.39535094579295116,0.7957601653181601,0.9822222222222221,0.7194278878766884,1.2450165565677558,0.0,1.0,50,80,10.444444444444445
