context,factor,low_level,high_level,matches_per_level,weak_win_effect,weak_win_ci_low,weak_win_ci_high,weak_win_seed_clusters,weak_round_margin_effect,weak_round_margin_ci_low,weak_round_margin_ci_high,weak_round_margin_seed_clusters,weak_score_effect,weak_score_ci_low,weak_score_ci_high,weak_score_seed_clusters,strong_score_effect,strong_score_ci_low,strong_score_ci_high,strong_score_seed_clusters,rounds_won_added,rounds_won_added_ci_low,rounds_won_added_ci_high,opponent_rounds_denied,opponent_rounds_denied_ci_low,opponent_rounds_denied_ci_high,margin_reconciliation_error,seed_block_sign_agreement,lever,win_effect_pp
normalized_65v85,skill_aim_precision,65,85,900,0.06444444444444443,0.049285343725321604,0.07960354516356725,90,2.7,2.488400071696139,2.911599928303861,90,2.466666666666667,2.270993370041943,2.6623399632913904,90,-0.23333333333333328,-0.3159863232636123,-0.15068034340305425,90,2.466666666666667,2.270993370041943,2.6623399632913904,0.23333333333333328,0.15068034340305425,0.3159863232636123,1.1102230246251565e-16,1.0,Aim precision 65 to 85,6.444444444444443
normalized_65v85,skill_aim_reactivity,65,85,900,0.04777777777777777,0.03264579694569556,0.06290975860985999,90,2.178888888888889,1.9634913551200344,2.3942864226577436,90,2.0722222222222224,1.8640502938444887,2.2803941505999563,90,-0.10666666666666669,-0.17529682865754198,-0.038036504675791394,90,2.0722222222222224,1.8640502938444887,2.2803941505999563,0.10666666666666669,0.038036504675791394,0.17529682865754198,-2.220446049250313e-16,1.0,Aim reactivity 65 to 85,4.777777777777778
normalized_65v85,skill_movement,65,85,900,0.012222222222222223,0.0028935969637307653,0.021550847480713682,90,0.49444444444444446,0.3043583554764021,0.6845305334124868,90,0.46444444444444444,0.2807419150582615,0.6481469738306274,90,-0.029999999999999995,-0.0658603061538007,0.0058603061538007074,90,0.46444444444444444,0.2807419150582615,0.6481469738306274,0.029999999999999995,-0.0058603061538007074,0.0658603061538007,3.122502256758253e-17,1.0,Movement 65 to 85,1.2222222222222223
normalized_65v85_supplement,micro_bundle,65,85,900,0.30333333333333334,0.27892207853070633,0.32774458813596036,90,6.772222222222224,6.50796182771242,7.036482616732028,90,5.494444444444445,5.2576423547254425,5.731246534163448,90,-1.2777777777777777,-1.4368469740074363,-1.118708581548119,90,5.494444444444445,5.2576423547254425,5.731246534163448,1.2777777777777777,1.118708581548119,1.4368469740074363,8.881784197001252e-16,1.0,Micro bundle 65 to 85,30.333333333333336
normalized_75v80_supplement,micro_bundle,65,85,900,0.5577777777777778,0.5265413903538375,0.5890141652017181,90,8.915555555555557,8.56225722809775,9.268853883013364,90,5.727777777777778,5.444070298855063,6.011485256700492,90,-3.1877777777777783,-3.370039640396372,-3.0055159151591844,90,5.727777777777778,5.444070298855063,6.011485256700492,3.1877777777777783,3.0055159151591844,3.370039640396372,4.440892098500626e-16,1.0,Micro bundle 65 to 85,55.77777777777778
normalized_65v85_supplement,role_comfort,40,100,900,0.005555555555555556,-0.001001223162459224,0.012112334273570335,90,0.838888888888889,0.6694688214887521,1.008308956289026,90,0.8322222222222223,0.6680283509756105,0.9964160934688341,90,-0.006666666666666668,-0.0340021372099369,0.020668803876603564,90,0.8322222222222223,0.6680283509756105,0.9964160934688341,0.006666666666666668,-0.020668803876603564,0.0340021372099369,4.163336342344337e-17,1.0,Role comfort,0.5555555555555556
normalized_75v80_supplement,role_comfort,40,100,900,0.10666666666666669,0.07826991894897076,0.13506341438436262,90,1.9455555555555555,1.654793040496322,2.236318070614789,90,1.3988888888888888,1.1936627357407326,1.6041150420370451,90,-0.5466666666666667,-0.726406123264274,-0.3669272100690595,90,1.3988888888888888,1.1936627357407326,1.6041150420370451,0.5466666666666667,0.3669272100690595,0.726406123264274,-1.1102230246251565e-16,1.0,Role comfort,10.666666666666668
normalized_65v85_supplement,role_assignment,rotated,aligned,900,0.1622222222222222,0.13924040853211272,0.1852040359123317,90,4.221111111111112,3.932879779127722,4.509342443094502,90,3.6022222222222227,3.3535887573683807,3.8508556870760646,90,-0.618888888888889,-0.7749587513807106,-0.46281902639706757,90,3.6022222222222227,3.3535887573683807,3.8508556870760646,0.618888888888889,0.46281902639706757,0.7749587513807106,2.220446049250313e-16,1.0,Aligned roles vs rotated,16.22222222222222
normalized_75v80_supplement,role_assignment,rotated,aligned,900,0.43111111111111117,0.39536169880012456,0.4668605234220978,90,5.995555555555556,5.590045306428999,6.401065804682112,90,2.8311111111111105,2.5864410231244284,3.0757811990977926,90,-3.1644444444444444,-3.4467984976480954,-2.8820903912407934,90,2.8311111111111105,2.5864410231244284,3.0757811990977926,3.1644444444444444,2.8820903912407934,3.4467984976480954,8.881784197001252e-16,1.0,Aligned roles vs rotated,43.111111111111114
normalized_65v85_supplement,shared_language,50,100,900,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,Language 50 to 100,0.0
normalized_75v80_supplement,shared_language,50,100,900,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,Language 50 to 100,0.0
normalized_65v85_supplement,igl_experience,40,100,900,-0.0011111111111111111,-0.0033188652216736454,0.0010966429994514234,90,0.012222222222222226,-0.012465656195688778,0.03691010064013323,90,0.014444444444444447,-0.008533794442487301,0.037422683331376196,90,0.0022222222222222222,-0.002193285998902847,0.006637730443347291,90,0.014444444444444447,-0.008533794442487301,0.037422683331376196,-0.0022222222222222222,-0.006637730443347291,0.002193285998902847,1.3010426069826053e-18,0.6666666666666666,IGL experience,-0.1111111111111111
normalized_75v80_supplement,igl_experience,40,100,900,-0.0022222222222222227,-0.008484209917114415,0.00403976547266997,90,-0.03333333333333333,-0.08984842760473682,0.023181760938070152,90,-0.05444444444444445,-0.10380522523073482,-0.005083663658154082,90,-0.021111111111111105,-0.06174535235007006,0.019523130127847847,90,-0.05444444444444445,-0.10380522523073482,-0.005083663658154082,0.021111111111111105,-0.019523130127847847,0.06174535235007006,1.0408340855860843e-17,0.6666666666666666,IGL experience,-0.22222222222222227
normalized_75v80_supplement,tactical_bundle,65,85,900,0.1622222222222222,0.1305782273819575,0.1938662170624869,90,2.431111111111111,2.08334261163794,2.778879610584282,90,1.6400000000000003,1.3951656712940428,1.884834328705958,90,-0.7911111111111111,-0.9725820468516722,-0.60964017537055,90,1.6400000000000003,1.3951656712940428,1.884834328705958,0.7911111111111111,0.60964017537055,0.9725820468516722,-4.440892098500626e-16,1.0,Tactical bundle 65 to 85,16.22222222222222
normalized_75v80_supplement,mental_bundle,65,85,900,0.006666666666666668,-0.006946867194072313,0.02028020052740565,90,0.1522222222222222,0.02444542934811833,0.2799990150963261,90,0.18555555555555556,0.08272954783228798,0.28838156327882314,90,0.033333333333333326,-0.0398297274719866,0.10649639413865325,90,0.18555555555555556,0.08272954783228798,0.28838156327882314,-0.033333333333333326,-0.10649639413865325,0.0398297274719866,-2.7755575615628914e-17,1.0,Mental bundle 65 to 85,0.6666666666666667
