weak_overall,matches,wins,win_rate,win_ci_low,win_ci_high,mean_round_margin,close_match_rate
45.0,900,0,0.0,-4.336808689942018e-19,0.00425014673005413,-12.274444444444445,0.0
55.0,900,0,0.0,-4.336808689942018e-19,0.00425014673005413,-11.34,0.0
65.0,900,7,0.0077777777777777776,0.0037725718908023917,0.01596701700122867,-9.543333333333333,0.017777777777777778
70.0,900,17,0.01888888888888889,0.011826249759834116,0.030041113649306853,-8.135555555555555,0.05555555555555555
75.0,900,92,0.10222222222222223,0.08409097424413936,0.1237346980433259,-5.998888888888889,0.10666666666666667
80.0,900,251,0.2788888888888889,0.2505774961754871,0.3090797909340257,-3.1755555555555555,0.20222222222222222
85.0,900,450,0.5,0.46740342529477164,0.5325965747052284,0.0,0.21777777777777776
