context,factor,low_level,high_level,matches_per_level,weak_win_effect,weak_win_ci_low,weak_win_ci_high,weak_win_seed_clusters,weak_round_margin_effect,weak_round_margin_ci_low,weak_round_margin_ci_high,weak_round_margin_seed_clusters,weak_score_effect,weak_score_ci_low,weak_score_ci_high,weak_score_seed_clusters,strong_score_effect,strong_score_ci_low,strong_score_ci_high,strong_score_seed_clusters,rounds_won_added,rounds_won_added_ci_low,rounds_won_added_ci_high,opponent_rounds_denied,opponent_rounds_denied_ci_low,opponent_rounds_denied_ci_high,margin_reconciliation_error,seed_block_effects,seed_block_rounds_won_added,seed_block_sign_agreement,lever,win_effect_pp,local_overall_equivalent_points
normalized_65v85,skill_aim_precision,65,85,900,0.06444444444444443,0.049285343725321604,0.07960354516356725,90,2.7,2.488400071696139,2.911599928303861,90,2.466666666666667,2.270993370041943,2.6623399632913904,90,-0.23333333333333328,-0.3159863232636123,-0.15068034340305425,90,2.466666666666667,2.270993370041943,2.6623399632913904,0.23333333333333328,0.15068034340305425,0.3159863232636123,1.1102230246251565e-16,"{'0': 2.96, '10000': 2.75, '20000': 2.39}","{'0': 2.6566666666666667, '10000': 2.5933333333333333, '20000': 2.15}",1.0,Aim precision 65 to 85,6.444444444444443,4.781582054309328
normalized_65v85,skill_aim_reactivity,65,85,900,0.04777777777777777,0.03264579694569556,0.06290975860985999,90,2.178888888888889,1.9634913551200344,2.3942864226577436,90,2.0722222222222224,1.8640502938444887,2.2803941505999563,90,-0.10666666666666669,-0.17529682865754198,-0.038036504675791394,90,2.0722222222222224,1.8640502938444887,2.2803941505999563,0.10666666666666669,0.038036504675791394,0.17529682865754198,-2.220446049250313e-16,"{'0': 2.19, '10000': 2.05, '20000': 2.296666666666667}","{'0': 2.01, '10000': 2.0, '20000': 2.2066666666666666}",1.0,Aim reactivity 65 to 85,4.777777777777778,3.8587170405352222
normalized_65v85,skill_movement,65,85,900,0.012222222222222223,0.0028935969637307653,0.021550847480713682,90,0.49444444444444446,0.3043583554764021,0.6845305334124868,90,0.46444444444444444,0.2807419150582615,0.6481469738306274,90,-0.029999999999999995,-0.0658603061538007,0.0058603061538007074,90,0.46444444444444444,0.2807419150582615,0.6481469738306274,0.029999999999999995,-0.0058603061538007074,0.0658603061538007,3.122502256758253e-17,"{'0': 0.46, '10000': 0.42, '20000': 0.6033333333333334}","{'0': 0.4033333333333333, '10000': 0.4633333333333333, '20000': 0.5266666666666666}",1.0,Movement 65 to 85,1.2222222222222223,0.8756395120031484
normalized_65v85_supplement,micro_bundle,65,85,900,0.30333333333333334,0.27892207853070633,0.32774458813596036,90,6.772222222222224,6.50796182771242,7.036482616732028,90,5.494444444444445,5.2576423547254425,5.731246534163448,90,-1.2777777777777777,-1.4368469740074363,-1.118708581548119,90,5.494444444444445,5.2576423547254425,5.731246534163448,1.2777777777777777,1.118708581548119,1.4368469740074363,8.881784197001252e-16,"{'30000': 6.756666666666667, '40000': 6.943333333333333, '50000': 6.616666666666666}","{'30000': 5.67, '40000': 5.543333333333333, '50000': 5.27}",1.0,Micro bundle 65 to 85,30.333333333333336,11.99330972058245
normalized_75v80_supplement,micro_bundle,65,85,900,0.5577777777777778,0.5265413903538375,0.5890141652017181,90,8.915555555555557,8.56225722809775,9.268853883013364,90,5.727777777777778,5.444070298855063,6.011485256700492,90,-3.1877777777777783,-3.370039640396372,-3.0055159151591844,90,5.727777777777778,5.444070298855063,6.011485256700492,3.1877777777777783,3.0055159151591844,3.370039640396372,4.440892098500626e-16,"{'30000': 8.806666666666667, '40000': 8.86, '50000': 9.08}","{'30000': 5.696666666666666, '40000': 5.716666666666667, '50000': 5.77}",1.0,Micro bundle 65 to 85,55.77777777777778,15.789059425423064
normalized_65v85_supplement,role_comfort,40,100,900,0.005555555555555556,-0.001001223162459224,0.012112334273570335,90,0.838888888888889,0.6694688214887521,1.008308956289026,90,0.8322222222222223,0.6680283509756105,0.9964160934688341,90,-0.006666666666666668,-0.0340021372099369,0.020668803876603564,90,0.8322222222222223,0.6680283509756105,0.9964160934688341,0.006666666666666668,-0.020668803876603564,0.0340021372099369,4.163336342344337e-17,"{'30000': 0.9366666666666666, '40000': 0.8733333333333333, '50000': 0.7066666666666667}","{'30000': 0.9233333333333333, '40000': 0.86, '50000': 0.7133333333333334}",1.0,Role comfort,0.5555555555555556,1.4856355765446678
normalized_75v80_supplement,role_comfort,40,100,900,0.10666666666666669,0.07826991894897076,0.13506341438436262,90,1.9455555555555555,1.654793040496322,2.236318070614789,90,1.3988888888888888,1.1936627357407326,1.6041150420370451,90,-0.5466666666666667,-0.726406123264274,-0.3669272100690595,90,1.3988888888888888,1.1936627357407326,1.6041150420370451,0.5466666666666667,0.3669272100690595,0.726406123264274,-1.1102230246251565e-16,"{'30000': 2.0166666666666666, '40000': 1.9866666666666666, '50000': 1.8333333333333333}","{'30000': 1.4566666666666668, '40000': 1.4, '50000': 1.34}",1.0,Role comfort,10.666666666666668,3.4454939000393545
normalized_65v85_supplement,role_assignment,rotated,aligned,900,0.1622222222222222,0.13924040853211272,0.1852040359123317,90,4.221111111111112,3.932879779127722,4.509342443094502,90,3.6022222222222227,3.3535887573683807,3.8508556870760646,90,-0.618888888888889,-0.7749587513807106,-0.46281902639706757,90,3.6022222222222227,3.3535887573683807,3.8508556870760646,0.618888888888889,0.46281902639706757,0.7749587513807106,2.220446049250313e-16,"{'30000': 4.16, '40000': 4.196666666666666, '50000': 4.306666666666667}","{'30000': 3.4266666666666667, '40000': 3.5433333333333334, '50000': 3.8366666666666664}",1.0,Aligned roles vs rotated,16.22222222222222,7.475403384494295
normalized_75v80_supplement,role_assignment,rotated,aligned,900,0.43111111111111117,0.39536169880012456,0.4668605234220978,90,5.995555555555556,5.590045306428999,6.401065804682112,90,2.8311111111111105,2.5864410231244284,3.0757811990977926,90,-3.1644444444444444,-3.4467984976480954,-2.8820903912407934,90,2.8311111111111105,2.5864410231244284,3.0757811990977926,3.1644444444444444,2.8820903912407934,3.4467984976480954,8.881784197001252e-16,"{'30000': 5.8133333333333335, '40000': 6.136666666666667, '50000': 6.036666666666667}","{'30000': 2.8133333333333335, '40000': 2.9433333333333334, '50000': 2.736666666666667}",1.0,Aligned roles vs rotated,43.111111111111114,10.617866981503346
normalized_65v85_supplement,shared_language,50,100,900,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,"{'30000': 0.0, '40000': 0.0, '50000': 0.0}","{'30000': 0.0, '40000': 0.0, '50000': 0.0}",1.0,Language 50 to 100,0.0,0.0
