context,factor,low_level,high_level,matches_per_level,weak_win_effect,weak_win_ci_low,weak_win_ci_high,weak_win_seed_clusters,weak_round_margin_effect,weak_round_margin_ci_low,weak_round_margin_ci_high,weak_round_margin_seed_clusters,weak_score_effect,weak_score_ci_low,weak_score_ci_high,weak_score_seed_clusters,strong_score_effect,strong_score_ci_low,strong_score_ci_high,strong_score_seed_clusters,rounds_won_added,rounds_won_added_ci_low,rounds_won_added_ci_high,opponent_rounds_denied,opponent_rounds_denied_ci_low,opponent_rounds_denied_ci_high,margin_reconciliation_error,seed_block_sign_agreement,comparison,weak_win_effect_pp,weak_win_ci_low_pp,weak_win_ci_high_pp
equal_75v75_core,agent_mastery,25,95,450,0.11555555555555554,0.07456412450005884,0.15654698661105224,45,1.5133333333333334,1.112986735300344,1.9136799313663229,45,0.8511111111111112,0.6144957753285396,1.0877264468936827,45,-0.6622222222222222,-0.8770887100017553,-0.44735573444268906,45,0.8511111111111112,0.6144957753285396,1.0877264468936827,0.6622222222222222,0.44735573444268906,0.8770887100017553,1.1102230246251565e-16,1.0,low-to-high,11.555555555555554,7.4564124500058835,15.654698661105224
equal_75v75_core,agent_selection,unfamiliar_same_role,comfort_lock,450,0.042222222222222223,0.00863954908313614,0.0758048953613083,45,0.5044444444444445,0.1164657341843866,0.8924231547045023,45,0.19777777777777783,-0.1189743321966199,0.5145298877521756,45,-0.3066666666666667,-0.5606575843021795,-0.05267574903115396,45,0.19777777777777783,-0.1189743321966199,0.5145298877521756,0.3066666666666667,0.05267574903115396,0.5606575843021795,-5.551115123125783e-17,1.0,observed worst-to-best,4.222222222222222,0.863954908313614,7.58048953613083
equal_75v75_core,chemistry_complex_system,20,100,450,0.2555555555555556,0.204091562353228,0.3070195487578832,45,3.686666666666667,3.181478920729941,4.1918544126033925,45,1.9955555555555557,1.6635335175554968,2.3275775935556147,45,-1.6911111111111112,-1.9831531319121112,-1.3990690903101113,45,1.9955555555555557,1.6635335175554968,2.3275775935556147,1.6911111111111112,1.3990690903101113,1.9831531319121112,0.0,1.0,low-to-high,25.55555555555556,20.4091562353228,30.701954875788317
equal_75v75_core,chemistry_neutral,20,100,450,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,low-to-high,0.0,0.0,0.0
equal_75v75_core,coach_quality,20,80,450,0.006666666666666666,-0.019272653734771307,0.032605987068104636,45,0.020000000000000004,-0.22571493762660144,0.2657149376266014,45,0.08666666666666664,-0.13564287278658474,0.30897620611991805,45,0.06666666666666665,-0.09912934187175473,0.23246267520508804,45,0.08666666666666664,-0.13564287278658474,0.30897620611991805,-0.06666666666666665,-0.23246267520508804,0.09912934187175473,1.3877787807814457e-17,0.3333333333333333,low-to-high,0.6666666666666666,-1.9272653734771308,3.2605987068104634
equal_75v75_core,confidence,20,80,450,0.20666666666666664,0.14887717530661332,0.26445615802671996,45,2.9822222222222226,2.452275073138418,3.512169371306027,45,1.268888888888889,0.9862708899927831,1.5515068877849947,45,-1.713333333333333,-2.0214256070969725,-1.4052410595696934,45,1.268888888888889,0.9862708899927831,1.5515068877849947,1.713333333333333,1.4052410595696934,2.0214256070969725,6.661338147750939e-16,1.0,low-to-high,20.666666666666664,14.887717530661332,26.445615802671995
equal_75v75_core,counter_edge,-3,3,450,0.23555555555555552,0.16741987311084827,0.30369123800026276,45,3.2222222222222223,2.623925502114928,3.8205189423295165,45,1.6111111111111112,1.311962751057464,1.9102594711647582,45,-1.6111111111111112,-1.9102594711647582,-1.311962751057464,45,1.6111111111111112,1.311962751057464,1.9102594711647582,1.6111111111111112,1.311962751057464,1.9102594711647582,0.0,1.0,low-to-high,23.55555555555555,16.741987311084827,30.369123800026276
equal_75v75_core,focus_target,highest_id,captain,450,-0.0022222222222222222,-0.01975074684771839,0.015306302403273946,45,0.03111111111111111,-0.12589250788414852,0.18811473010637075,45,0.06888888888888887,-0.044218297890283864,0.1819960756680616,45,0.037777777777777785,-0.058575897428672793,0.13413145298422835,45,0.06888888888888887,-0.044218297890283864,0.1819960756680616,-0.037777777777777785,-0.13413145298422835,0.058575897428672793,2.0816681711721685e-17,0.6666666666666666,observed worst-to-best,-0.2222222222222222,-1.9750746847718392,1.5306302403273946
equal_75v75_core,form,20,80,450,0.2977777777777778,0.23421098666938583,0.3613445688861698,45,3.9733333333333336,3.419272909093287,4.52739375757338,45,1.9866666666666668,1.7096364545466436,2.26369687878669,45,-1.9866666666666668,-2.26369687878669,-1.7096364545466436,45,1.9866666666666668,1.7096364545466436,2.26369687878669,1.9866666666666668,1.7096364545466436,2.26369687878669,0.0,1.0,low-to-high,29.777777777777782,23.421098666938583,36.13445688861698
equal_75v75_core,halftime_talk,demand_more,reassure,450,0.32,0.23560600807224372,0.40439399192775627,45,4.797777777777778,3.826150737832631,5.769404817722926,45,2.522222222222222,1.9925228680042153,3.051921576440229,45,-2.2755555555555556,-2.7427512534052796,-1.8083598577058313,45,2.522222222222222,1.9925228680042153,3.051921576440229,2.2755555555555556,1.8083598577058313,2.7427512534052796,4.440892098500626e-16,1.0,observed worst-to-best,32.0,23.560600807224372,40.439399192775625
equal_75v75_core,map_mastery,25,95,450,0.11555555555555554,0.07456412450005884,0.15654698661105224,45,1.5133333333333334,1.112986735300344,1.9136799313663229,45,0.8511111111111112,0.6144957753285396,1.0877264468936827,45,-0.6622222222222222,-0.8770887100017553,-0.44735573444268906,45,0.8511111111111112,0.6144957753285396,1.0877264468936827,0.6622222222222222,0.44735573444268906,0.8770887100017553,1.1102230246251565e-16,1.0,low-to-high,11.555555555555554,7.4564124500058835,15.654698661105224
equal_75v75_core,morale,20,80,450,0.17777777777777778,0.11738842037765054,0.23816713517790503,45,2.3688888888888893,1.813149285682478,2.9246284920953007,45,1.1844444444444446,0.906574642841239,1.4623142460476504,45,-1.1844444444444446,-1.4623142460476504,-0.906574642841239,45,1.1844444444444446,0.906574642841239,1.4623142460476504,1.1844444444444446,0.906574642841239,1.4623142460476504,0.0,1.0,low-to-high,17.77777777777778,11.738842037765055,23.816713517790504
equal_75v75_core,prep_edge,0,1.5,450,0.042222222222222223,0.00863954908313614,0.0758048953613083,45,0.5333333333333332,0.1976831134677186,0.8689835531989478,45,0.15555555555555553,-0.060098720771212144,0.3712098318823232,45,-0.37777777777777777,-0.6309183382046251,-0.12463721735093042,45,0.15555555555555553,-0.060098720771212144,0.3712098318823232,0.37777777777777777,0.12463721735093042,0.6309183382046251,-1.1102230246251565e-16,1.0,low-to-high,4.222222222222222,0.863954908313614,7.58048953613083
equal_75v75_core,stamina,40,100,450,0.19333333333333333,0.15919865304098993,0.22746801362567673,45,2.9333333333333327,2.573896152031537,3.2927705146351283,45,1.7155555555555557,1.4077060350120372,2.0234050760990745,45,-1.2177777777777776,-1.4598498558432915,-0.9757056997122636,45,1.7155555555555557,1.4077060350120372,2.0234050760990745,1.2177777777777776,0.9757056997122636,1.4598498558432915,-6.661338147750939e-16,1.0,low-to-high,19.333333333333332,15.919865304098993,22.746801362567673
equal_75v75_core,tactic_aggression,0,100,450,0.29333333333333333,0.23997326159536023,0.34669340507130647,45,4.366666666666666,3.763789243657885,4.9695440896754475,45,2.1777777777777776,1.8163549152767926,2.5392006402787626,45,-2.188888888888889,-2.5687062628035457,-1.8090715149742327,45,2.1777777777777776,1.8163549152767926,2.5392006402787626,2.188888888888889,1.8090715149742327,2.5687062628035457,-4.440892098500626e-16,1.0,low-to-high,29.333333333333332,23.997326159536023,34.66934050713065
equal_75v75_core,tactic_eco_greed,0,100,450,0.02222222222222222,-0.022563723876528087,0.06700816832097253,45,0.18000000000000008,-0.3067827988364864,0.6667827988364866,45,0.03555555555555558,-0.2663187555180454,0.3374298666291565,45,-0.14444444444444443,-0.44037540297532585,0.15148651408643699,45,0.03555555555555558,-0.2663187555180454,0.3374298666291565,0.14444444444444443,-0.15148651408643699,0.44037540297532585,5.551115123125783e-17,1.0,low-to-high,2.222222222222222,-2.256372387652809,6.700816832097253
equal_75v75_core,tactic_map_control,0,100,450,-0.05333333333333335,-0.09364068482220862,-0.013025981844458079,45,-0.6533333333333334,-1.0751866031160868,-0.2314800635505801,45,-0.2577777777777778,-0.5451940076003811,0.029638452044825514,45,0.3955555555555555,0.10175341860827669,0.6893576925028343,45,-0.2577777777777778,-0.5451940076003811,0.029638452044825514,-0.3955555555555555,-0.6893576925028343,-0.10175341860827669,-1.6653345369377348e-16,1.0,low-to-high,-5.333333333333335,-9.364068482220862,-1.3025981844458079
equal_75v75_core,tactic_pace,0,100,450,-0.07555555555555554,-0.12843505075984843,-0.022676060351262656,45,-0.8977777777777778,-1.45989127841745,-0.33566427713810554,45,-0.5133333333333334,-0.858599945153248,-0.1680667215134189,45,0.3844444444444445,0.04545218753059255,0.7234367013582964,45,-0.5133333333333334,-0.858599945153248,-0.1680667215134189,-0.3844444444444445,-0.7234367013582964,-0.04545218753059255,1.1102230246251565e-16,1.0,low-to-high,-7.5555555555555545,-12.843505075984844,-2.2676060351262657
equal_75v75_core,tactic_util_discipline,0,100,450,-0.11555555555555556,-0.15654698661105226,-0.07456412450005886,45,-1.5333333333333334,-2.0216056559235156,-1.0450610107431513,45,-0.8111111111111112,-1.17016126516,-0.4520609570622225,45,0.7222222222222222,0.3667512073864391,1.0776932370580052,45,-0.8111111111111112,-1.17016126516,-0.4520609570622225,-0.7222222222222222,-1.0776932370580052,-0.3667512073864391,0.0,1.0,low-to-high,-11.555555555555557,-15.654698661105225,-7.456412450005886
equal_75v75_core,touchline_shout,demand_effort,encourage,450,0.19777777777777777,0.13890202555257142,0.25665353000298413,45,2.8399999999999994,2.2058664568980695,3.4741335431019293,45,1.3333333333333333,1.0219692383430614,1.644697428323605,45,-1.5066666666666666,-1.8938750135779632,-1.11945831975537,45,1.3333333333333333,1.0219692383430614,1.644697428323605,1.5066666666666666,1.11945831975537,1.8938750135779632,-4.440892098500626e-16,1.0,observed worst-to-best,19.77777777777778,13.890202555257142,25.665353000298413
